cell_K,cell_lambda,seed,window,strategy,p_at_50,alpha,beta,gamma,delta
50,3.0,124,2,offline,0.88,0.5,0.7,0.1,0.3
50,3.0,125,2,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,125,2,online,0.7,0.5,0.7,0.0,0.2
50,3.0,125,2,offline,0.74,0.5,0.7,0.1,0.3
50,3.0,126,2,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,126,2,online,0.74,0.5,0.7,0.0,0.2
50,3.0,126,2,offline,0.76,0.5,0.7,0.1,0.3
50,3.0,127,2,fixed,0.62,0.7,0.5,0.1,0.2
50,3.0,127,2,online,0.74,0.5,0.7,0.0,0.2
50,3.0,127,2,offline,0.76,0.5,0.7,0.1,0.3
50,3.0,128,2,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,128,2,online,0.86,0.5,0.7,0.0,0.2
50,3.0,128,2,offline,0.86,0.5,0.7,0.1,0.3
50,3.0,129,2,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,129,2,online,0.78,0.5,0.7,0.0,0.2
50,3.0,129,2,offline,0.8,0.5,0.7,0.1,0.3
50,3.0,105,3,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,105,3,online,0.64,0.5,0.7,0.1,0.3
50,3.0,105,3,offline,0.66,0.5,0.5,0.0,0.3
50,3.0,106,3,fixed,0.76,0.7,0.5,0.1,0.2
50,3.0,106,3,online,0.76,0.5,0.7,0.1,0.3
50,3.0,106,3,offline,0.82,0.5,0.5,0.0,0.3
50,3.0,107,3,fixed,0.44,0.7,0.5,0.1,0.2
50,3.0,107,3,online,0.62,0.5,0.7,0.1,0.3
50,3.0,107,3,offline,0.6,0.5,0.5,0.0,0.3
50,3.0,108,3,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,108,3,online,0.7,0.5,0.7,0.1,0.3
50,3.0,108,3,offline,0.72,0.5,0.5,0.0,0.3
50,3.0,109,3,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,109,3,online,0.56,0.5,0.7,0.1,0.3
50,3.0,109,3,offline,0.62,0.5,0.5,0.0,0.3
50,3.0,110,3,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,110,3,online,0.66,0.5,0.7,0.1,0.3
50,3.0,110,3,offline,0.64,0.5,0.5,0.0,0.3
50,3.0,111,3,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,111,3,online,0.72,0.5,0.7,0.1,0.3
50,3.0,111,3,offline,0.72,0.5,0.5,0.0,0.3
50,3.0,112,3,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,112,3,online,0.68,0.5,0.7,0.1,0.3
50,3.0,112,3,offline,0.72,0.5,0.5,0.0,0.3
50,3.0,113,3,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,113,3,online,0.66,0.5,0.7,0.1,0.3
50,3.0,113,3,offline,0.66,0.5,0.5,0.0,0.3
50,3.0,114,3,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,114,3,online,0.66,0.5,0.7,0.1,0.3
50,3.0,114,3,offline,0.62,0.5,0.5,0.0,0.3
