batch_id,cell_id,seed,freeze_witness_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,t0_window_set,capacity_efficiency,ehd_absolute,n_pairs_total,n_t0_windows,scheduled_count_total,scheduler_feasibility
B-primary-ablation,ABL-w_context_dominant-remove_C,30,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3355652800.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3243334080.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3258487312.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,3,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3270661120.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,4,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3486306368.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,5,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3211032160.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,6,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3404152192.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,7,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3345676704.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,8,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3261306464.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,9,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3301763360.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,10,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3303317696.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,11,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3188816256.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,12,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3312290448.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,13,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3258324704.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,14,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3274235984.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,15,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3389873280.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,16,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3321775984.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,17,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3227130016.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,18,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3260481888.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,19,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3308165936.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,20,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3267719056.000000,201924000.000000,18.000000,2019240.000000,1.000000
