seed,axis,regime,ghost_rate,phantom_rate,total_error,retire,precision
1310,retire,,0.007416068048050192,0.3682724440574429,0.3756885121054931,120.0,
1310,precision,,0.012753047627091585,0.2716306900952341,0.28438373772232567,,0.8
1310,precision,,0.010850830839139196,0.1706652440100171,0.1815160748491563,,0.9
1310,precision,,0.009841900888554493,0.1239819986901065,0.13382389957866098,,0.95
1310,precision,,0.009113090024295882,0.08444381955392423,0.0935569095782201,,0.99
1311,regime,continuous,0.009818822449498329,0.12147699625678025,0.13129581870627857,,
1311,regime,periodic,0.5707906124145385,0.030439924371253025,0.6012305367857915,,
1311,retire,,0.09446556484657105,0.060370950831352584,0.15483651567792364,7.0,
1311,retire,,0.04038219929125349,0.08092161452195637,0.12130381381320986,14.0,
1311,retire,,0.009818822449498329,0.12147699625678025,0.13129581870627857,30.0,
1311,retire,,0.007974569705523404,0.2143728584604817,0.2223474281660051,60.0,
1311,retire,,0.007101912203019282,0.3683069885539565,0.37540890075697575,120.0,
1311,precision,,0.011682828482767714,0.27429265183025353,0.2859754803130212,,0.8
1311,precision,,0.010846945233610204,0.17307742445784197,0.18392436969145218,,0.9
1311,precision,,0.009818822449498329,0.12147699625678025,0.13129581870627857,,0.95
1311,precision,,0.00905940512230391,0.08341973534144262,0.09247914046374653,,0.99
1312,regime,continuous,0.010843448420145578,0.12492188034456185,0.13576532876470743,,
1312,regime,periodic,0.5723063983042157,0.028836256285092593,0.6011426545893083,,
1312,retire,,0.09634679537559086,0.06127007852276306,0.15761687389835394,7.0,
1312,retire,,0.03995232731888169,0.08127364750647688,0.12122597482535857,14.0,
1312,retire,,0.010843448420145578,0.12492188034456185,0.13576532876470743,30.0,
1312,retire,,0.007274946072667911,0.20492615315016638,0.21220109922283428,60.0,
1312,retire,,0.007325623651958951,0.3638753834236008,0.37120100707555975,120.0,
1312,precision,,0.01289692216405698,0.27142147816569445,0.2843184003297514,,0.8
1312,precision,,0.01052076210081851,0.17373564044084003,0.18425640254165854,,0.9
1312,precision,,0.010843448420145578,0.12492188034456185,0.13576532876470743,,0.95
1312,precision,,0.009316688379433615,0.08472154618716204,0.09403823456659566,,0.99
1313,regime,continuous,0.009998513130369861,0.12480515623964047,0.13480366937001034,,
1313,regime,periodic,0.5767297920083619,0.03184725203959684,0.6085770440479588,,
1313,retire,,0.09898094065025097,0.06016000082344999,0.15914094147370095,7.0,
1313,retire,,0.03752055497244797,0.07954721489445753,0.1170677698669055,14.0,
1313,retire,,0.009998513130369861,0.12480515623964047,0.13480366937001034,30.0,
1313,retire,,0.007361917267730132,0.20720519388841482,0.21456711115614496,60.0,
1313,retire,,0.007798922028223295,0.3666765004072251,0.3744754224354484,120.0,
1313,precision,,0.01206593517287131,0.27207982366699407,0.28414575883986537,,0.8
1313,precision,,0.010548941225432162,0.17316115518585115,0.1837100964112833,,0.9
1313,precision,,0.009998513130369861,0.12480515623964047,0.13480366937001034,,0.95
1313,precision,,0.009667066896715325,0.08293308897341867,0.092600155870134,,0.99
1314,regime,continuous,0.009748384871711287,0.12443964355343454,0.13418802842514582,,
1314,regime,periodic,0.5721485395356924,0.030823311325226414,0.6029718508609189,,
1314,retire,,0.0984299889333344,0.0592865298877129,0.1577165188210473,7.0,
1314,retire,,0.037836362868809405,0.08127046350718797,0.11910682637599737,14.0,
1314,retire,,0.009748384871711287,0.12443964355343454,0.13418802842514582,30.0,
1314,retire,,0.00724579904261818,0.2044982382097074,0.21174403725232557,60.0,
1314,retire,,0.007212208074927103,0.3603747921833332,0.3675870002582603,120.0,
1314,precision,,0.012167664720918717,0.2714289406394416,0.28359660536036035,,0.8
1314,precision,,0.010669176072687737,0.17402719354028354,0.18469636961297128,,0.9
1314,precision,,0.009748384871711287,0.12443964355343454,0.13418802842514582,,0.95
1314,precision,,0.009382846698995634,0.08649906971233254,0.09588191641132818,,0.99
1315,regime,continuous,0.009265214735318572,0.12417249227629698,0.13343770701161556,,
1315,regime,periodic,0.5790323138467942,0.030445523464321195,0.6094778373111154,,
1315,retire,,0.10630527969776321,0.0598712969952663,0.16617657669302952,7.0,
1315,retire,,0.03738176117866751,0.08121829491245065,0.11860005609111816,14.0,
1315,retire,,0.009265214735318572,0.12417249227629698,0.13343770701161556,30.0,
1315,retire,,0.0076064543892233995,0.20583115017946063,0.21343760456868402,60.0,
1315,retire,,0.007726189819183524,0.3783730640093831,0.38609925382856664,120.0,
1315,precision,,0.011395959351319129,0.27022966170225377,0.2816256210535729,,0.8
1315,precision,,0.009575491337031544,0.1724315532894415,0.18200704462647305,,0.9
1315,precision,,0.009265214735318572,0.12417249227629698,0.13343770701161556,,0.95
1315,precision,,0.009474061891720507,0.08514668087832157,0.09462074277004208,,0.99
1316,regime,continuous,0.009666345715443765,0.12523442535637205,0.1349007710718158,,
1316,regime,periodic,0.5725216006814943,0.03256319753861347,0.6050847982201077,,
1316,retire,,0.1044487255902639,0.05984725826582514,0.16429598385608904,7.0,
1316,retire,,0.03675604416629027,0.08246224651841899,0.11921829068470927,14.0,
1316,retire,,0.009666345715443765,0.12523442535637205,0.1349007710718158,30.0,
1316,retire,,0.00693983253059544,0.20044303122214388,0.20738286375273932,60.0,
1316,retire,,0.007538670833621988,0.37362713492264943,0.3811658057562714,120.0,
1316,precision,,0.012180550502909084,0.26993007847969097,0.28211062898260003,,0.8
