seed,method,n_pairs,n_positives,ranked_list_hash,p_at_50,ndcg_at_50,oracle_gap_at_50,p_at_100,ndcg_at_100,oracle_gap_at_100,p_at_250,ndcg_at_250,oracle_gap_at_250
120,Random,3589,220,e8e2a2dedf68b11c,0.06,0.111,94.0,0.07,0.0998,93.0,0.044,0.0706,95.0
121,HygienePrio-full,3525,228,92db242ab926357b,0.46,0.5098,54.0,0.43,0.4658,57.0,0.428,0.4775,53.07
121,HygienePrio-noInteraction,3525,228,8d5bbad374c2d921,0.42,0.4721,58.0,0.42,0.4509,58.0,0.408,0.4564,55.26
121,HygienePrio-noPatch,3525,228,ab4fb6dc7b3d1843,0.24,0.2845,76.0,0.27,0.2923,73.0,0.276,0.3063,69.74
121,HygienePrio-noAD,3525,228,65e2e07aa74c329c,0.36,0.4024,64.0,0.37,0.395,63.0,0.392,0.4298,57.02
121,HygienePrio-noFreshness,3525,228,1e3fcf81adb89ded,0.4,0.4629,60.0,0.41,0.446,59.0,0.412,0.4604,54.82
121,EPSS-only,3525,228,53e4404df332c99d,0.18,0.1775,82.0,0.19,0.1852,81.0,0.216,0.2243,76.32
121,CVSS-only,3525,228,584986f9a551f865,0.06,0.0439,94.0,0.07,0.0576,93.0,0.044,0.0461,95.18
121,HRS-only,3525,228,e611497f4e53dddf,0.32,0.3689,68.0,0.26,0.3035,74.0,0.284,0.3255,68.86
121,Random,3525,228,e1b76c69f43f19a6,0.04,0.0312,96.0,0.06,0.0491,94.0,0.06,0.059,93.42
122,HygienePrio-full,3572,200,cde83a4e7bbe5b80,0.4,0.4519,60.0,0.4,0.4301,60.0,0.388,0.4813,51.5
122,HygienePrio-noInteraction,3572,200,917059d30c500bce,0.36,0.413,64.0,0.4,0.4214,60.0,0.38,0.4684,52.5
122,HygienePrio-noPatch,3572,200,43bd3f5ee2b6b065,0.24,0.2054,76.0,0.25,0.2251,75.0,0.24,0.2706,70.0
122,HygienePrio-noAD,3572,200,0ef2e82749d518dd,0.28,0.3306,72.0,0.3,0.3262,70.0,0.32,0.3909,60.0
122,HygienePrio-noFreshness,3572,200,19f7f90ac9b8c5c8,0.36,0.4261,64.0,0.39,0.4224,61.0,0.384,0.4759,52.0
122,EPSS-only,3572,200,e44d8f9407e0ed1b,0.06,0.0596,94.0,0.15,0.1274,85.0,0.172,0.1844,78.5
122,CVSS-only,3572,200,54b89946fcd07f71,0.02,0.0158,98.0,0.02,0.0176,98.0,0.036,0.0385,95.5
122,HRS-only,3572,200,b480fb5ad517b51d,0.22,0.176,78.0,0.23,0.2012,77.0,0.248,0.2745,69.0
122,Random,3572,200,cc2507b26c982b56,0.06,0.053,94.0,0.07,0.064,93.0,0.06,0.0686,92.5
123,HygienePrio-full,3502,220,3a3966bf6833cebf,0.7,0.7474,30.0,0.53,0.597,47.0,0.44,0.5409,50.0
123,HygienePrio-noInteraction,3502,220,ca34f8b654df2777,0.66,0.7162,34.0,0.52,0.5858,48.0,0.44,0.538,50.0
123,HygienePrio-noPatch,3502,220,8489d772adcbaa63,0.48,0.5152,52.0,0.4,0.4397,60.0,0.32,0.3917,63.64
123,HygienePrio-noAD,3502,220,406bac56a0abf468,0.62,0.6857,38.0,0.49,0.5592,51.0,0.404,0.501,54.09
123,HygienePrio-noFreshness,3502,220,80e7a34f1aaf2467,0.7,0.739,30.0,0.53,0.5912,47.0,0.424,0.5212,51.82
123,EPSS-only,3502,220,c573c317f2182d72,0.36,0.3332,64.0,0.32,0.3133,68.0,0.252,0.2881,71.36
123,CVSS-only,3502,220,a01b77e58de1326c,0.06,0.0464,94.0,0.06,0.0516,94.0,0.056,0.058,93.64
123,HRS-only,3502,220,5fa916c460a78597,0.2,0.238,80.0,0.26,0.2696,74.0,0.272,0.3034,69.09
123,Random,3502,220,5a9d79aeb41ab938,0.08,0.0691,92.0,0.06,0.0587,94.0,0.056,0.0613,93.64
124,HygienePrio-full,3444,213,641789511e845b68,0.44,0.5251,56.0,0.5,0.536,50.0,0.452,0.5393,46.95
124,HygienePrio-noInteraction,3444,213,11ce62dcc41f4665,0.42,0.5057,58.0,0.49,0.5236,51.0,0.444,0.5286,47.89
124,HygienePrio-noPatch,3444,213,71c541906f44d43f,0.32,0.3723,68.0,0.33,0.3587,67.0,0.312,0.372,63.38
124,HygienePrio-noAD,3444,213,294e8768eba481a4,0.38,0.4655,62.0,0.4,0.4476,60.0,0.384,0.4623,54.93
124,HygienePrio-noFreshness,3444,213,2587ebb545ca5d06,0.46,0.5418,54.0,0.49,0.5307,51.0,0.42,0.5111,50.7
124,EPSS-only,3444,213,e111946f95f99c4c,0.24,0.274,76.0,0.21,0.2374,79.0,0.22,0.2618,74.18
124,CVSS-only,3444,213,b1439b3622f55c39,0.06,0.1304,94.0,0.04,0.0875,96.0,0.052,0.0829,93.9
124,HRS-only,3444,213,254d190ef2334150,0.22,0.2359,78.0,0.25,0.2534,75.0,0.264,0.2951,69.01
124,Random,3444,213,ae2e943862d0cb41,0.02,0.0216,98.0,0.06,0.0505,94.0,0.036,0.0398,95.77
