seed,gaming_fraction,method,p_at_50,n_positives
115,0.2,HRS-only,0.2,139
115,0.3,HygienePrio-full,0.48,139
115,0.3,EPSS-only,0.18,139
115,0.3,HRS-only,0.2,139
116,0.0,HygienePrio-full,0.6,177
116,0.0,EPSS-only,0.38,177
116,0.0,HRS-only,0.24,177
116,0.05,HygienePrio-full,0.6,177
116,0.05,EPSS-only,0.16,177
116,0.05,HRS-only,0.24,177
116,0.1,HygienePrio-full,0.6,177
116,0.1,EPSS-only,0.16,177
116,0.1,HRS-only,0.24,177
116,0.15,HygienePrio-full,0.6,177
116,0.15,EPSS-only,0.16,177
116,0.15,HRS-only,0.24,177
116,0.2,HygienePrio-full,0.6,177
116,0.2,EPSS-only,0.16,177
116,0.2,HRS-only,0.24,177
116,0.3,HygienePrio-full,0.6,177
116,0.3,EPSS-only,0.16,177
116,0.3,HRS-only,0.24,177
117,0.0,HygienePrio-full,0.64,170
117,0.0,EPSS-only,0.42,170
117,0.0,HRS-only,0.3,170
117,0.05,HygienePrio-full,0.6,170
117,0.05,EPSS-only,0.34,170
117,0.05,HRS-only,0.3,170
117,0.1,HygienePrio-full,0.58,170
117,0.1,EPSS-only,0.34,170
117,0.1,HRS-only,0.3,170
117,0.15,HygienePrio-full,0.58,170
117,0.15,EPSS-only,0.34,170
117,0.15,HRS-only,0.3,170
117,0.2,HygienePrio-full,0.56,170
117,0.2,EPSS-only,0.34,170
117,0.2,HRS-only,0.3,170
117,0.3,HygienePrio-full,0.6,170
117,0.3,EPSS-only,0.34,170
117,0.3,HRS-only,0.3,170
118,0.0,HygienePrio-full,0.52,163
118,0.0,EPSS-only,0.32,163
118,0.0,HRS-only,0.36,163
118,0.05,HygienePrio-full,0.52,163
118,0.05,EPSS-only,0.18,163
118,0.05,HRS-only,0.36,163
118,0.1,HygienePrio-full,0.5,163
118,0.1,EPSS-only,0.18,163
118,0.1,HRS-only,0.36,163
118,0.15,HygienePrio-full,0.52,163
118,0.15,EPSS-only,0.18,163
118,0.15,HRS-only,0.36,163
118,0.2,HygienePrio-full,0.52,163
118,0.2,EPSS-only,0.18,163
118,0.2,HRS-only,0.36,163
118,0.3,HygienePrio-full,0.52,163
118,0.3,EPSS-only,0.18,163
118,0.3,HRS-only,0.36,163
119,0.0,HygienePrio-full,0.7,153
119,0.0,EPSS-only,0.46,153
119,0.0,HRS-only,0.28,153
119,0.05,HygienePrio-full,0.72,153
119,0.05,EPSS-only,0.3,153
119,0.05,HRS-only,0.28,153
119,0.1,HygienePrio-full,0.66,153
119,0.1,EPSS-only,0.3,153
119,0.1,HRS-only,0.28,153
119,0.15,HygienePrio-full,0.66,153
119,0.15,EPSS-only,0.3,153
119,0.15,HRS-only,0.28,153
119,0.2,HygienePrio-full,0.66,153
119,0.2,EPSS-only,0.3,153
119,0.2,HRS-only,0.28,153
119,0.3,HygienePrio-full,0.66,153
119,0.3,EPSS-only,0.3,153
119,0.3,HRS-only,0.28,153
120,0.0,HygienePrio-full,0.66,173
120,0.0,EPSS-only,0.32,173
120,0.0,HRS-only,0.26,173
120,0.05,HygienePrio-full,0.62,173
120,0.05,EPSS-only,0.18,173
120,0.05,HRS-only,0.26,173
120,0.1,HygienePrio-full,0.62,173
120,0.1,EPSS-only,0.18,173
120,0.1,HRS-only,0.26,173
120,0.15,HygienePrio-full,0.58,173
120,0.15,EPSS-only,0.18,173
120,0.15,HRS-only,0.26,173
120,0.2,HygienePrio-full,0.58,173
120,0.2,EPSS-only,0.18,173
120,0.2,HRS-only,0.26,173
120,0.3,HygienePrio-full,0.56,173
