seed,method,n_pairs,n_positives,p_at_50,p_at_100,p_at_250
117,EPSS-only,1829,21,0.36,0.21,0.084
117,HRS-only,1829,21,0.02,0.04,0.024
117,CVSS-only,1829,21,0.04,0.02,0.016
117,Random,1829,21,0.02,0.01,0.008
118,HygienePrio-full,1740,28,0.46,0.27,0.112
118,EPSS-only,1740,28,0.48,0.28,0.112
118,HRS-only,1740,28,0.08,0.05,0.036
118,CVSS-only,1740,28,0.0,0.01,0.012
118,Random,1740,28,0.0,0.0,0.0
119,HygienePrio-full,1705,18,0.32,0.18,0.072
119,EPSS-only,1705,18,0.32,0.18,0.072
119,HRS-only,1705,18,0.08,0.06,0.04
119,CVSS-only,1705,18,0.0,0.01,0.004
119,Random,1705,18,0.04,0.03,0.02
120,HygienePrio-full,1803,19,0.28,0.17,0.076
120,EPSS-only,1803,19,0.28,0.19,0.076
120,HRS-only,1803,19,0.06,0.03,0.032
120,CVSS-only,1803,19,0.02,0.03,0.016
120,Random,1803,19,0.02,0.02,0.012
121,HygienePrio-full,1734,25,0.46,0.25,0.1
121,EPSS-only,1734,25,0.42,0.25,0.1
121,HRS-only,1734,25,0.12,0.07,0.056
121,CVSS-only,1734,25,0.0,0.0,0.0
121,Random,1734,25,0.02,0.01,0.012
122,HygienePrio-full,1855,28,0.46,0.27,0.112
122,EPSS-only,1855,28,0.44,0.28,0.112
122,HRS-only,1855,28,0.04,0.05,0.04
122,CVSS-only,1855,28,0.02,0.03,0.028
122,Random,1855,28,0.0,0.0,0.004
123,HygienePrio-full,1709,23,0.4,0.23,0.092
123,EPSS-only,1709,23,0.36,0.23,0.092
123,HRS-only,1709,23,0.06,0.04,0.048
123,CVSS-only,1709,23,0.0,0.0,0.016
123,Random,1709,23,0.02,0.01,0.008
124,HygienePrio-full,1673,19,0.32,0.18,0.076
124,EPSS-only,1673,19,0.26,0.19,0.076
124,HRS-only,1673,19,0.02,0.02,0.024
124,CVSS-only,1673,19,0.0,0.0,0.008
124,Random,1673,19,0.0,0.01,0.012
125,HygienePrio-full,1741,29,0.5,0.27,0.116
125,EPSS-only,1741,29,0.44,0.29,0.116
125,HRS-only,1741,29,0.1,0.08,0.06
125,CVSS-only,1741,29,0.0,0.0,0.008
125,Random,1741,29,0.0,0.0,0.004
126,HygienePrio-full,1706,22,0.28,0.2,0.088
126,EPSS-only,1706,22,0.3,0.22,0.088
126,HRS-only,1706,22,0.0,0.02,0.028
126,CVSS-only,1706,22,0.0,0.0,0.004
126,Random,1706,22,0.0,0.0,0.0
127,HygienePrio-full,1747,17,0.3,0.17,0.068
127,EPSS-only,1747,17,0.28,0.17,0.068
127,HRS-only,1747,17,0.02,0.01,0.032
127,CVSS-only,1747,17,0.0,0.02,0.016
127,Random,1747,17,0.0,0.0,0.012
128,HygienePrio-full,1752,21,0.36,0.19,0.084
128,EPSS-only,1752,21,0.36,0.21,0.084
128,HRS-only,1752,21,0.06,0.04,0.028
128,CVSS-only,1752,21,0.06,0.04,0.028
128,Random,1752,21,0.0,0.0,0.012
129,HygienePrio-full,1790,18,0.32,0.16,0.072
129,EPSS-only,1790,18,0.28,0.18,0.072
129,HRS-only,1790,18,0.0,0.04,0.032
129,CVSS-only,1790,18,0.0,0.01,0.008
129,Random,1790,18,0.0,0.01,0.016
