tau,cell_K,cell_lambda,seed,window,strategy,p_at_50
0.02,50,3.0,123,2,fixed,0.6
0.02,50,3.0,123,2,lag1,0.7
0.02,50,3.0,123,2,adaptive,0.6
0.02,50,3.0,123,2,gated,0.7
0.02,50,3.0,123,2,offline,0.74
0.02,50,3.0,124,2,fixed,0.64
0.02,50,3.0,124,2,lag1,0.84
0.02,50,3.0,124,2,adaptive,0.64
0.02,50,3.0,124,2,gated,0.84
0.02,50,3.0,124,2,offline,0.88
0.02,50,3.0,125,2,fixed,0.52
0.02,50,3.0,125,2,lag1,0.7
0.02,50,3.0,125,2,adaptive,0.52
0.02,50,3.0,125,2,gated,0.7
0.02,50,3.0,125,2,offline,0.74
0.02,50,3.0,126,2,fixed,0.52
0.02,50,3.0,126,2,lag1,0.74
0.02,50,3.0,126,2,adaptive,0.52
0.02,50,3.0,126,2,gated,0.74
0.02,50,3.0,126,2,offline,0.76
0.02,50,3.0,127,2,fixed,0.62
0.02,50,3.0,127,2,lag1,0.74
0.02,50,3.0,127,2,adaptive,0.62
0.02,50,3.0,127,2,gated,0.74
0.02,50,3.0,127,2,offline,0.76
0.02,50,3.0,128,2,fixed,0.52
0.02,50,3.0,128,2,lag1,0.86
0.02,50,3.0,128,2,adaptive,0.52
0.02,50,3.0,128,2,gated,0.86
0.02,50,3.0,128,2,offline,0.86
0.02,50,3.0,129,2,fixed,0.5
0.02,50,3.0,129,2,lag1,0.78
0.02,50,3.0,129,2,adaptive,0.5
0.02,50,3.0,129,2,gated,0.78
0.02,50,3.0,129,2,offline,0.8
0.02,50,3.0,105,3,fixed,0.6
0.02,50,3.0,105,3,lag1,0.64
0.02,50,3.0,105,3,adaptive,0.64
0.02,50,3.0,105,3,gated,0.64
0.02,50,3.0,105,3,offline,0.66
0.02,50,3.0,106,3,fixed,0.76
0.02,50,3.0,106,3,lag1,0.76
0.02,50,3.0,106,3,adaptive,0.76
0.02,50,3.0,106,3,gated,0.76
0.02,50,3.0,106,3,offline,0.82
0.02,50,3.0,107,3,fixed,0.44
0.02,50,3.0,107,3,lag1,0.62
0.02,50,3.0,107,3,adaptive,0.62
0.02,50,3.0,107,3,gated,0.62
0.02,50,3.0,107,3,offline,0.6
0.02,50,3.0,108,3,fixed,0.54
0.02,50,3.0,108,3,lag1,0.7
0.02,50,3.0,108,3,adaptive,0.7
0.02,50,3.0,108,3,gated,0.7
0.02,50,3.0,108,3,offline,0.72
0.02,50,3.0,109,3,fixed,0.48
0.02,50,3.0,109,3,lag1,0.56
0.02,50,3.0,109,3,adaptive,0.56
0.02,50,3.0,109,3,gated,0.56
0.02,50,3.0,109,3,offline,0.62
0.02,50,3.0,110,3,fixed,0.52
0.02,50,3.0,110,3,lag1,0.66
0.02,50,3.0,110,3,adaptive,0.66
0.02,50,3.0,110,3,gated,0.66
0.02,50,3.0,110,3,offline,0.64
0.02,50,3.0,111,3,fixed,0.58
0.02,50,3.0,111,3,lag1,0.72
0.02,50,3.0,111,3,adaptive,0.72
0.02,50,3.0,111,3,gated,0.72
0.02,50,3.0,111,3,offline,0.72
0.02,50,3.0,112,3,fixed,0.6
0.02,50,3.0,112,3,lag1,0.68
0.02,50,3.0,112,3,adaptive,0.68
0.02,50,3.0,112,3,gated,0.68
0.02,50,3.0,112,3,offline,0.72
0.02,50,3.0,113,3,fixed,0.6
0.02,50,3.0,113,3,lag1,0.66
0.02,50,3.0,113,3,adaptive,0.66
0.02,50,3.0,113,3,gated,0.66
0.02,50,3.0,113,3,offline,0.66
0.02,50,3.0,114,3,fixed,0.5
0.02,50,3.0,114,3,lag1,0.66
0.02,50,3.0,114,3,adaptive,0.66
0.02,50,3.0,114,3,gated,0.66
0.02,50,3.0,114,3,offline,0.62
0.02,50,3.0,115,3,fixed,0.44
0.02,50,3.0,115,3,lag1,0.5
0.02,50,3.0,115,3,adaptive,0.5
0.02,50,3.0,115,3,gated,0.5
0.02,50,3.0,115,3,offline,0.54
0.02,50,3.0,116,3,fixed,0.58
0.02,50,3.0,116,3,lag1,0.62
0.02,50,3.0,116,3,adaptive,0.62
0.02,50,3.0,116,3,gated,0.62
0.02,50,3.0,116,3,offline,0.66
0.02,50,3.0,117,3,fixed,0.42
0.02,50,3.0,117,3,lag1,0.56
0.02,50,3.0,117,3,adaptive,0.56
0.02,50,3.0,117,3,gated,0.56
0.02,50,3.0,117,3,offline,0.58
0.02,50,3.0,118,3,fixed,0.54
0.02,50,3.0,118,3,lag1,0.58
0.02,50,3.0,118,3,adaptive,0.58
0.02,50,3.0,118,3,gated,0.58
0.02,50,3.0,118,3,offline,0.66
0.02,50,3.0,119,3,fixed,0.54
0.02,50,3.0,119,3,lag1,0.66
0.02,50,3.0,119,3,adaptive,0.66
0.02,50,3.0,119,3,gated,0.66
0.02,50,3.0,119,3,offline,0.66
0.02,50,3.0,120,3,fixed,0.5
0.02,50,3.0,120,3,lag1,0.54
0.02,50,3.0,120,3,adaptive,0.54
0.02,50,3.0,120,3,gated,0.54
0.02,50,3.0,120,3,offline,0.58
0.02,50,3.0,121,3,fixed,0.7
0.02,50,3.0,121,3,lag1,0.66
0.02,50,3.0,121,3,adaptive,0.66
0.02,50,3.0,121,3,gated,0.66
0.02,50,3.0,121,3,offline,0.72
0.02,50,3.0,122,3,fixed,0.5
0.02,50,3.0,122,3,lag1,0.6
0.02,50,3.0,122,3,adaptive,0.6
0.02,50,3.0,122,3,gated,0.6
0.02,50,3.0,122,3,offline,0.7
0.02,50,3.0,123,3,fixed,0.66
0.02,50,3.0,123,3,lag1,0.5
0.02,50,3.0,123,3,adaptive,0.5
0.02,50,3.0,123,3,gated,0.5
0.02,50,3.0,123,3,offline,0.66
0.02,50,3.0,124,3,fixed,0.56
0.02,50,3.0,124,3,lag1,0.52
0.02,50,3.0,124,3,adaptive,0.52
0.02,50,3.0,124,3,gated,0.52
0.02,50,3.0,124,3,offline,0.62
0.02,50,3.0,125,3,fixed,0.54
0.02,50,3.0,125,3,lag1,0.58
0.02,50,3.0,125,3,adaptive,0.58
0.02,50,3.0,125,3,gated,0.58
0.02,50,3.0,125,3,offline,0.6
0.02,50,3.0,126,3,fixed,0.66
0.02,50,3.0,126,3,lag1,0.64
0.02,50,3.0,126,3,adaptive,0.64
0.02,50,3.0,126,3,gated,0.64
0.02,50,3.0,126,3,offline,0.68
0.02,50,3.0,127,3,fixed,0.68
0.02,50,3.0,127,3,lag1,0.68
0.02,50,3.0,127,3,adaptive,0.68
0.02,50,3.0,127,3,gated,0.68
0.02,50,3.0,127,3,offline,0.76
0.02,50,3.0,128,3,fixed,0.56
0.02,50,3.0,128,3,lag1,0.78
0.02,50,3.0,128,3,adaptive,0.78
0.02,50,3.0,128,3,gated,0.78
0.02,50,3.0,128,3,offline,0.78
0.02,50,3.0,129,3,fixed,0.6
0.02,50,3.0,129,3,lag1,0.62
0.02,50,3.0,129,3,adaptive,0.62
0.02,50,3.0,129,3,gated,0.62
0.02,50,3.0,129,3,offline,0.64
0.02,50,3.0,105,4,fixed,0.48
0.02,50,3.0,105,4,lag1,0.56
0.02,50,3.0,105,4,adaptive,0.56
0.02,50,3.0,105,4,gated,0.56
0.02,50,3.0,105,4,offline,0.56
0.02,50,3.0,106,4,fixed,0.46
0.02,50,3.0,106,4,lag1,0.56
0.02,50,3.0,106,4,adaptive,0.56
0.02,50,3.0,106,4,gated,0.56
0.02,50,3.0,106,4,offline,0.54
0.02,50,3.0,107,4,fixed,0.46
0.02,50,3.0,107,4,lag1,0.56
0.02,50,3.0,107,4,adaptive,0.56
0.02,50,3.0,107,4,gated,0.56
0.02,50,3.0,107,4,offline,0.56
0.02,50,3.0,108,4,fixed,0.54
0.02,50,3.0,108,4,lag1,0.6
0.02,50,3.0,108,4,adaptive,0.6
0.02,50,3.0,108,4,gated,0.6
0.02,50,3.0,108,4,offline,0.6
0.02,50,3.0,109,4,fixed,0.46
0.02,50,3.0,109,4,lag1,0.46
0.02,50,3.0,109,4,adaptive,0.46
0.02,50,3.0,109,4,gated,0.46
0.02,50,3.0,109,4,offline,0.46
0.02,50,3.0,110,4,fixed,0.56
0.02,50,3.0,110,4,lag1,0.64
0.02,50,3.0,110,4,adaptive,0.64
0.02,50,3.0,110,4,gated,0.64
0.02,50,3.0,110,4,offline,0.64
0.02,50,3.0,111,4,fixed,0.58
0.02,50,3.0,111,4,lag1,0.64
0.02,50,3.0,111,4,adaptive,0.64
0.02,50,3.0,111,4,gated,0.64
0.02,50,3.0,111,4,offline,0.64
0.02,50,3.0,112,4,fixed,0.46
0.02,50,3.0,112,4,lag1,0.6
0.02,50,3.0,112,4,adaptive,0.6
0.02,50,3.0,112,4,gated,0.6
0.02,50,3.0,112,4,offline,0.6
0.02,50,3.0,113,4,fixed,0.4
0.02,50,3.0,113,4,lag1,0.56
0.02,50,3.0,113,4,adaptive,0.56
0.02,50,3.0,113,4,gated,0.56
0.02,50,3.0,113,4,offline,0.54
0.02,50,3.0,114,4,fixed,0.62
0.02,50,3.0,114,4,lag1,0.7
0.02,50,3.0,114,4,adaptive,0.7
0.02,50,3.0,114,4,gated,0.7
0.02,50,3.0,114,4,offline,0.7
0.02,50,3.0,115,4,fixed,0.52
0.02,50,3.0,115,4,lag1,0.6
0.02,50,3.0,115,4,adaptive,0.6
0.02,50,3.0,115,4,gated,0.6
0.02,50,3.0,115,4,offline,0.62
0.02,50,3.0,116,4,fixed,0.66
0.02,50,3.0,116,4,lag1,0.78
0.02,50,3.0,116,4,adaptive,0.78
0.02,50,3.0,116,4,gated,0.78
0.02,50,3.0,116,4,offline,0.76
0.02,50,3.0,117,4,fixed,0.6
0.02,50,3.0,117,4,lag1,0.62
0.02,50,3.0,117,4,adaptive,0.62
0.02,50,3.0,117,4,gated,0.62
0.02,50,3.0,117,4,offline,0.62
0.02,50,3.0,118,4,fixed,0.5
0.02,50,3.0,118,4,lag1,0.66
0.02,50,3.0,118,4,adaptive,0.66
0.02,50,3.0,118,4,gated,0.66
0.02,50,3.0,118,4,offline,0.66
0.02,50,3.0,119,4,fixed,0.56
0.02,50,3.0,119,4,lag1,0.68
0.02,50,3.0,119,4,adaptive,0.68
0.02,50,3.0,119,4,gated,0.68
0.02,50,3.0,119,4,offline,0.66
0.02,50,3.0,120,4,fixed,0.42
0.02,50,3.0,120,4,lag1,0.5
0.02,50,3.0,120,4,adaptive,0.5
0.02,50,3.0,120,4,gated,0.5
0.02,50,3.0,120,4,offline,0.5
0.02,50,3.0,121,4,fixed,0.5
0.02,50,3.0,121,4,lag1,0.56
0.02,50,3.0,121,4,adaptive,0.56
0.02,50,3.0,121,4,gated,0.56
0.02,50,3.0,121,4,offline,0.56
0.02,50,3.0,122,4,fixed,0.48
0.02,50,3.0,122,4,lag1,0.54
0.02,50,3.0,122,4,adaptive,0.54
0.02,50,3.0,122,4,gated,0.54
0.02,50,3.0,122,4,offline,0.52
0.02,50,3.0,123,4,fixed,0.52
0.02,50,3.0,123,4,lag1,0.68
0.02,50,3.0,123,4,adaptive,0.68
0.02,50,3.0,123,4,gated,0.68
0.02,50,3.0,123,4,offline,0.68
0.02,50,3.0,124,4,fixed,0.64
0.02,50,3.0,124,4,lag1,0.68
0.02,50,3.0,124,4,adaptive,0.68
0.02,50,3.0,124,4,gated,0.68
0.02,50,3.0,124,4,offline,0.66
0.02,50,3.0,125,4,fixed,0.5
0.02,50,3.0,125,4,lag1,0.6
0.02,50,3.0,125,4,adaptive,0.6
0.02,50,3.0,125,4,gated,0.6
0.02,50,3.0,125,4,offline,0.6
0.02,50,3.0,126,4,fixed,0.46
0.02,50,3.0,126,4,lag1,0.56
0.02,50,3.0,126,4,adaptive,0.56
0.02,50,3.0,126,4,gated,0.56
0.02,50,3.0,126,4,offline,0.58
0.02,50,3.0,127,4,fixed,0.5
0.02,50,3.0,127,4,lag1,0.62
0.02,50,3.0,127,4,adaptive,0.62
0.02,50,3.0,127,4,gated,0.62
0.02,50,3.0,127,4,offline,0.62
0.02,50,3.0,128,4,fixed,0.5
0.02,50,3.0,128,4,lag1,0.64
0.02,50,3.0,128,4,adaptive,0.64
0.02,50,3.0,128,4,gated,0.64
0.02,50,3.0,128,4,offline,0.66
0.02,50,3.0,129,4,fixed,0.48
0.02,50,3.0,129,4,lag1,0.56
0.02,50,3.0,129,4,adaptive,0.56
0.02,50,3.0,129,4,gated,0.56
0.02,50,3.0,129,4,offline,0.56
0.02,50,3.0,105,5,fixed,0.56
0.02,50,3.0,105,5,lag1,0.6
0.02,50,3.0,105,5,adaptive,0.56
0.02,50,3.0,105,5,gated,0.6
0.02,50,3.0,105,5,offline,0.62
0.02,50,3.0,106,5,fixed,0.56
0.02,50,3.0,106,5,lag1,0.56
0.02,50,3.0,106,5,adaptive,0.56
0.02,50,3.0,106,5,gated,0.56
