seed,axis,config,p_detect,n_rings,expected_blast,convergence_cost
1121,config,2-ring,0.8,2,0.23192499999999996,1
1121,config,4-ring,0.8,4,0.0467575,3
1121,config,6-ring,0.8,6,0.012173750000000002,5
1121,detect,4-ring,0.2,4,0.6015549999999998,3
1121,detect,4-ring,0.5,4,0.21675249999999996,3
1121,detect,4-ring,0.8,4,0.0501525,3
1121,detect,4-ring,0.95,4,0.014382500000000005,3
1122,config,big-bang,0.8,1,1.0,0
1122,config,2-ring,0.8,2,0.23976249999999993,1
1122,config,4-ring,0.8,4,0.052832500000000004,3
1122,config,6-ring,0.8,6,0.0119325,5
1122,detect,4-ring,0.2,4,0.5898199999999999,3
1122,detect,4-ring,0.5,4,0.22237499999999996,3
1122,detect,4-ring,0.8,4,0.048795000000000005,3
1122,detect,4-ring,0.95,4,0.015100000000000004,3
1123,config,big-bang,0.8,1,1.0,0
1123,config,2-ring,0.8,2,0.24926249999999994,1
1123,config,4-ring,0.8,4,0.04859,3
1123,config,6-ring,0.8,6,0.013141250000000002,5
1123,detect,4-ring,0.2,4,0.6050449999999999,3
1123,detect,4-ring,0.5,4,0.21717999999999996,3
1123,detect,4-ring,0.8,4,0.0516925,3
1123,detect,4-ring,0.95,4,0.016045,3
1124,config,big-bang,0.8,1,1.0,0
1124,config,2-ring,0.8,2,0.23833749999999992,1
1124,config,4-ring,0.8,4,0.046925,3
1124,config,6-ring,0.8,6,0.01185125,5
1124,detect,4-ring,0.2,4,0.5953174999999998,3
1124,detect,4-ring,0.5,4,0.2074275,3
1124,detect,4-ring,0.8,4,0.043855000000000005,3
1124,detect,4-ring,0.95,4,0.016385000000000004,3
