seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
503,0.5,EPSS-matured-oracle,26,0.24,0.5183,0.26,0.7872,0.104,0.7872
503,0.5,CVSS-only,26,0.16,0.2434,0.17,0.4155,0.104,0.5662
503,0.5,Random,26,0.02,0.0212,0.01,0.0212,0.012,0.0529
503,0.5,Context-only,26,0.02,0.0258,0.02,0.0456,0.024,0.1101
503,0.5,PTI-full,26,0.24,0.5282,0.24,0.7604,0.104,0.7956
503,0.5,PTI-noObs,26,0.2,0.4843,0.2,0.6728,0.104,0.7737
503,0.5,PTI-noCrit,26,0.2,0.2536,0.2,0.4479,0.104,0.5529
503,0.75,EPSS-day0,26,0.2,0.2543,0.18,0.4111,0.104,0.5426
503,0.75,CAP-day0,26,0.26,0.492,0.2,0.6278,0.104,0.7272
503,0.75,EPSS-matured-oracle,26,0.24,0.5183,0.26,0.7872,0.104,0.7872
503,0.75,CVSS-only,26,0.18,0.285,0.18,0.4592,0.1,0.5773
503,0.75,Random,26,0.0,0.0,0.01,0.019,0.012,0.0536
503,0.75,Context-only,26,0.02,0.0258,0.02,0.0456,0.024,0.1101
503,0.75,PTI-full,26,0.22,0.4824,0.2,0.6598,0.104,0.7646
503,0.75,PTI-noObs,26,0.2,0.4447,0.2,0.6422,0.104,0.7429
503,0.75,PTI-noCrit,26,0.18,0.2445,0.19,0.4383,0.104,0.5568
503,1.0,EPSS-day0,26,0.22,0.2757,0.2,0.4511,0.096,0.5188
503,1.0,CAP-day0,26,0.28,0.5013,0.2,0.6186,0.1,0.7031
503,1.0,EPSS-matured-oracle,26,0.24,0.5183,0.26,0.7872,0.104,0.7872
503,1.0,CVSS-only,26,0.18,0.2478,0.17,0.4016,0.1,0.5331
503,1.0,Random,26,0.0,0.0,0.0,0.0,0.004,0.0152
503,1.0,Context-only,26,0.02,0.0258,0.02,0.0456,0.024,0.1101
503,1.0,PTI-full,26,0.24,0.5135,0.2,0.6751,0.104,0.7752
503,1.0,PTI-noObs,26,0.2,0.4932,0.18,0.6523,0.1,0.7699
503,1.0,PTI-noCrit,26,0.18,0.2331,0.2,0.4505,0.1,0.5327
504,0.0,EPSS-day0,31,0.22,0.2588,0.21,0.4323,0.124,0.5871
504,0.0,CAP-day0,31,0.3,0.5367,0.24,0.6912,0.124,0.8016
504,0.0,EPSS-matured-oracle,31,0.32,0.5918,0.24,0.7293,0.124,0.8401
504,0.0,CVSS-only,31,0.22,0.2554,0.2,0.4087,0.12,0.5596
