seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
514,0.5,PTI-noObs,21,0.22,0.5634,0.19,0.7457,0.084,0.7862
514,0.5,PTI-noCrit,21,0.2,0.2766,0.17,0.4343,0.084,0.5149
514,0.75,EPSS-day0,21,0.18,0.2644,0.15,0.3983,0.084,0.5174
514,0.75,CAP-day0,21,0.22,0.524,0.18,0.677,0.084,0.7368
514,0.75,EPSS-matured-oracle,21,0.24,0.5575,0.21,0.7612,0.084,0.7612
514,0.75,CVSS-only,21,0.2,0.2941,0.18,0.4736,0.084,0.5282
514,0.75,Random,21,0.0,0.0,0.0,0.0,0.008,0.0359
514,0.75,Context-only,21,0.02,0.0252,0.02,0.0463,0.016,0.0823
514,0.75,PTI-full,21,0.2,0.529,0.19,0.7336,0.084,0.774
514,0.75,PTI-noObs,21,0.26,0.6105,0.18,0.7246,0.084,0.7808
514,0.75,PTI-noCrit,21,0.2,0.2849,0.18,0.4601,0.084,0.52
514,1.0,EPSS-day0,21,0.18,0.3549,0.16,0.515,0.08,0.5918
514,1.0,CAP-day0,21,0.24,0.5433,0.18,0.6766,0.084,0.7315
514,1.0,EPSS-matured-oracle,21,0.24,0.5575,0.21,0.7612,0.084,0.7612
514,1.0,CVSS-only,21,0.18,0.3963,0.14,0.5077,0.084,0.6482
514,1.0,Random,21,0.0,0.0,0.0,0.0,0.0,0.0
514,1.0,Context-only,21,0.02,0.0252,0.02,0.0463,0.016,0.0823
514,1.0,PTI-full,21,0.22,0.5279,0.2,0.7307,0.084,0.7499
514,1.0,PTI-noObs,21,0.2,0.5268,0.2,0.7468,0.084,0.7667
514,1.0,PTI-noCrit,21,0.18,0.3475,0.18,0.5475,0.084,0.6068
515,0.0,EPSS-day0,29,0.2,0.2241,0.23,0.4526,0.108,0.5187
515,0.0,CAP-day0,29,0.22,0.3939,0.27,0.6782,0.108,0.6782
515,0.0,EPSS-matured-oracle,29,0.24,0.4724,0.27,0.7379,0.108,0.7379
515,0.0,CVSS-only,29,0.22,0.258,0.17,0.3635,0.1,0.4902
515,0.0,Random,29,0.02,0.0247,0.01,0.0247,0.004,0.0247
515,0.0,Context-only,29,0.08,0.1077,0.06,0.1433,0.04,0.203
515,0.0,PTI-full,29,0.24,0.4367,0.27,0.7019,0.112,0.716
515,0.0,PTI-noObs,29,0.24,0.4837,0.17,0.5746,0.108,0.7339
515,0.0,PTI-noCrit,29,0.2,0.2205,0.23,0.4486,0.108,0.5146
515,0.25,EPSS-day0,29,0.18,0.2136,0.22,0.4469,0.108,0.5281
515,0.25,CAP-day0,29,0.22,0.3983,0.25,0.6494,0.108,0.6823
515,0.25,EPSS-matured-oracle,29,0.24,0.4724,0.27,0.7379,0.108,0.7379
515,0.25,CVSS-only,29,0.2,0.2517,0.2,0.4324,0.108,0.5413
515,0.25,Random,29,0.02,0.0202,0.01,0.0202,0.008,0.0349
515,0.25,Context-only,29,0.08,0.1077,0.06,0.1433,0.04,0.203
515,0.25,PTI-full,29,0.26,0.5044,0.26,0.7344,0.112,0.7647
515,0.25,PTI-noObs,29,0.24,0.4489,0.22,0.6318,0.116,0.7426
515,0.25,PTI-noCrit,29,0.2,0.2289,0.22,0.4423,0.108,0.5238
515,0.5,EPSS-day0,29,0.16,0.187,0.21,0.4216,0.108,0.5191
515,0.5,CAP-day0,29,0.22,0.3441,0.24,0.5767,0.108,0.6259
515,0.5,EPSS-matured-oracle,29,0.24,0.4724,0.27,0.7379,0.108,0.7379
515,0.5,CVSS-only,29,0.18,0.2251,0.21,0.4391,0.108,0.5363
515,0.5,Random,29,0.02,0.0293,0.01,0.0293,0.008,0.0449
515,0.5,Context-only,29,0.08,0.1077,0.06,0.1433,0.04,0.203
515,0.5,PTI-full,29,0.24,0.3917,0.25,0.6245,0.108,0.6576
515,0.5,PTI-noObs,29,0.22,0.4229,0.23,0.6411,0.108,0.7061
515,0.5,PTI-noCrit,29,0.18,0.2058,0.23,0.457,0.108,0.5223
515,0.75,EPSS-day0,29,0.18,0.2166,0.21,0.4342,0.104,0.5149
515,0.75,CAP-day0,29,0.24,0.4342,0.23,0.6325,0.108,0.6958
515,0.75,EPSS-matured-oracle,29,0.24,0.4724,0.27,0.7379,0.108,0.7379
515,0.75,CVSS-only,29,0.18,0.2125,0.16,0.3401,0.104,0.4975
515,0.75,Random,29,0.02,0.0237,0.02,0.0407,0.012,0.0562
515,0.75,Context-only,29,0.08,0.1077,0.06,0.1433,0.04,0.203
515,0.75,PTI-full,29,0.22,0.4292,0.23,0.6462,0.108,0.7114
515,0.75,PTI-noObs,29,0.22,0.4423,0.2,0.6033,0.108,0.712
515,0.75,PTI-noCrit,29,0.16,0.1893,0.2,0.4067,0.108,0.5197
515,1.0,EPSS-day0,29,0.14,0.1892,0.17,0.3717,0.108,0.5248
515,1.0,CAP-day0,29,0.18,0.3936,0.18,0.5584,0.108,0.6999
515,1.0,EPSS-matured-oracle,29,0.24,0.4724,0.27,0.7379,0.108,0.7379
515,1.0,CVSS-only,29,0.2,0.2535,0.17,0.3816,0.104,0.5234
515,1.0,Random,29,0.02,0.0203,0.01,0.0203,0.008,0.0367
515,1.0,Context-only,29,0.08,0.1077,0.06,0.1433,0.04,0.203
515,1.0,PTI-full,29,0.24,0.4782,0.22,0.6566,0.108,0.7358
515,1.0,PTI-noObs,29,0.28,0.4998,0.21,0.6241,0.108,0.7166
515,1.0,PTI-noCrit,29,0.16,0.191,0.18,0.3734,0.108,0.5166
516,0.0,EPSS-day0,34,0.18,0.2194,0.18,0.3631,0.136,0.5954
516,0.0,CAP-day0,34,0.22,0.4175,0.22,0.5933,0.136,0.7704
516,0.0,EPSS-matured-oracle,34,0.24,0.4521,0.22,0.6116,0.136,0.7888
516,0.0,CVSS-only,34,0.24,0.3068,0.21,0.4497,0.124,0.5929
516,0.0,Random,34,0.0,0.0,0.02,0.0306,0.012,0.0434
516,0.0,Context-only,34,0.06,0.0565,0.03,0.0565,0.028,0.1082
516,0.0,PTI-full,34,0.24,0.4483,0.22,0.6078,0.136,0.785
516,0.0,PTI-noObs,34,0.28,0.5036,0.24,0.664,0.128,0.778
516,0.0,PTI-noCrit,34,0.18,0.2549,0.18,0.3986,0.136,0.6306
516,0.25,EPSS-day0,34,0.18,0.2082,0.17,0.3369,0.136,0.5827
516,0.25,CAP-day0,34,0.22,0.4238,0.22,0.5992,0.136,0.7755
516,0.25,EPSS-matured-oracle,34,0.24,0.4521,0.22,0.6116,0.136,0.7888
516,0.25,CVSS-only,34,0.24,0.2719,0.16,0.3334,0.124,0.5439
516,0.25,Random,34,0.02,0.0177,0.01,0.0177,0.004,0.0177
516,0.25,Context-only,34,0.06,0.0565,0.03,0.0565,0.028,0.1082
516,0.25,PTI-full,34,0.22,0.4321,0.22,0.608,0.136,0.7844
516,0.25,PTI-noObs,34,0.24,0.4982,0.19,0.6081,0.124,0.7786
516,0.25,PTI-noCrit,34,0.18,0.2071,0.17,0.3361,0.136,0.5812
516,0.5,EPSS-day0,34,0.22,0.2758,0.21,0.433,0.136,0.6185
516,0.5,CAP-day0,34,0.22,0.3963,0.24,0.6058,0.136,0.7503
516,0.5,EPSS-matured-oracle,34,0.24,0.4521,0.22,0.6116,0.136,0.7888
516,0.5,CVSS-only,34,0.16,0.1899,0.19,0.3661,0.128,0.5488
516,0.5,Random,34,0.0,0.0,0.0,0.0,0.004,0.0148
516,0.5,Context-only,34,0.06,0.0565,0.03,0.0565,0.028,0.1082
516,0.5,PTI-full,34,0.22,0.4247,0.26,0.6655,0.136,0.7811
516,0.5,PTI-noObs,34,0.2,0.4173,0.22,0.6125,0.128,0.7551
516,0.5,PTI-noCrit,34,0.2,0.2454,0.2,0.403,0.136,0.6044
516,0.75,EPSS-day0,34,0.2,0.2545,0.17,0.3678,0.132,0.5939
516,0.75,CAP-day0,34,0.24,0.4219,0.22,0.5817,0.136,0.75
516,0.75,EPSS-matured-oracle,34,0.24,0.4521,0.22,0.6116,0.136,0.7888
516,0.75,CVSS-only,34,0.18,0.2204,0.16,0.3359,0.132,0.5736
516,0.75,Random,34,0.0,0.0,0.0,0.0,0.0,0.0
516,0.75,Context-only,34,0.06,0.0565,0.03,0.0565,0.028,0.1082
516,0.75,PTI-full,34,0.24,0.4418,0.22,0.6018,0.136,0.7738
516,0.75,PTI-noObs,34,0.24,0.4464,0.21,0.5917,0.132,0.7607
516,0.75,PTI-noCrit,34,0.16,0.1954,0.16,0.3273,0.136,0.5831
516,1.0,EPSS-day0,34,0.2,0.2527,0.23,0.4596,0.124,0.5745
516,1.0,CAP-day0,34,0.24,0.4526,0.25,0.6632,0.128,0.7625
516,1.0,EPSS-matured-oracle,34,0.24,0.4521,0.22,0.6116,0.136,0.7888
516,1.0,CVSS-only,34,0.14,0.2228,0.2,0.4372,0.124,0.5918
516,1.0,Random,34,0.0,0.0,0.01,0.0159,0.008,0.0308
516,1.0,Context-only,34,0.06,0.0565,0.03,0.0565,0.028,0.1082
516,1.0,PTI-full,34,0.24,0.468,0.26,0.692,0.136,0.8048
516,1.0,PTI-noObs,34,0.26,0.4758,0.25,0.6703,0.128,0.7663
516,1.0,PTI-noCrit,34,0.2,0.2885,0.22,0.4774,0.136,0.6467
517,0.0,EPSS-day0,31,0.22,0.2911,0.25,0.5313,0.124,0.6236
517,0.0,CAP-day0,31,0.3,0.4921,0.29,0.7312,0.124,0.7615
517,0.0,EPSS-matured-oracle,31,0.3,0.5116,0.29,0.7526,0.124,0.7829
517,0.0,CVSS-only,31,0.2,0.27,0.2,0.4455,0.124,0.6114
517,0.0,Random,31,0.04,0.0403,0.02,0.0403,0.008,0.0403
517,0.0,Context-only,31,0.0,0.0,0.0,0.0,0.028,0.1028
517,0.0,PTI-full,31,0.3,0.528,0.29,0.769,0.124,0.7993
517,0.0,PTI-noObs,31,0.32,0.5896,0.22,0.6944,0.124,0.8321
517,0.0,PTI-noCrit,31,0.22,0.3172,0.25,0.5575,0.124,0.6497
517,0.25,EPSS-day0,31,0.22,0.2973,0.26,0.554,0.124,0.6306
517,0.25,CAP-day0,31,0.3,0.506,0.29,0.7448,0.124,0.7752
517,0.25,EPSS-matured-oracle,31,0.3,0.5116,0.29,0.7526,0.124,0.7829
517,0.25,CVSS-only,31,0.26,0.3265,0.22,0.4829,0.12,0.6037
517,0.25,Random,31,0.0,0.0,0.0,0.0,0.004,0.0149
517,0.25,Context-only,31,0.0,0.0,0.0,0.0,0.028,0.1028
517,0.25,PTI-full,31,0.32,0.5629,0.28,0.7686,0.124,0.8152
517,0.25,PTI-noObs,31,0.34,0.5798,0.24,0.6998,0.12,0.7916
517,0.25,PTI-noCrit,31,0.22,0.3297,0.26,0.587,0.124,0.6639
517,0.5,EPSS-day0,31,0.22,0.357,0.24,0.5793,0.124,0.6852
517,0.5,CAP-day0,31,0.28,0.4856,0.26,0.6915,0.124,0.7678
517,0.5,EPSS-matured-oracle,31,0.3,0.5116,0.29,0.7526,0.124,0.7829
517,0.5,CVSS-only,31,0.22,0.2553,0.24,0.4764,0.12,0.5651
517,0.5,Random,31,0.0,0.0,0.0,0.0,0.008,0.0294
517,0.5,Context-only,31,0.0,0.0,0.0,0.0,0.028,0.1028
517,0.5,PTI-full,31,0.32,0.5525,0.27,0.742,0.124,0.8047
517,0.5,PTI-noObs,31,0.3,0.511,0.26,0.7012,0.124,0.7745
517,0.5,PTI-noCrit,31,0.24,0.3015,0.24,0.5072,0.124,0.6155
517,0.75,EPSS-day0,31,0.2,0.2623,0.19,0.4209,0.124,0.6005
517,0.75,CAP-day0,31,0.28,0.5074,0.23,0.6618,0.124,0.7821
517,0.75,EPSS-matured-oracle,31,0.3,0.5116,0.29,0.7526,0.124,0.7829
517,0.75,CVSS-only,31,0.2,0.2379,0.2,0.4098,0.116,0.5443
517,0.75,Random,31,0.04,0.1276,0.02,0.1276,0.012,0.1419
517,0.75,Context-only,31,0.0,0.0,0.0,0.0,0.028,0.1028
517,0.75,PTI-full,31,0.3,0.5093,0.24,0.663,0.124,0.7695
517,0.75,PTI-noObs,31,0.28,0.4816,0.23,0.6363,0.124,0.7546
517,0.75,PTI-noCrit,31,0.2,0.2598,0.19,0.418,0.124,0.6008
517,1.0,EPSS-day0,31,0.2,0.2633,0.2,0.4384,0.12,0.5875
517,1.0,CAP-day0,31,0.3,0.5179,0.22,0.6391,0.124,0.773
517,1.0,EPSS-matured-oracle,31,0.3,0.5116,0.29,0.7526,0.124,0.7829
517,1.0,CVSS-only,31,0.2,0.2988,0.25,0.5559,0.12,0.633
517,1.0,Random,31,0.0,0.0,0.0,0.0,0.0,0.0
517,1.0,Context-only,31,0.0,0.0,0.0,0.0,0.028,0.1028
517,1.0,PTI-full,31,0.3,0.5259,0.27,0.7335,0.124,0.794
517,1.0,PTI-noObs,31,0.28,0.4534,0.27,0.679,0.124,0.7387
517,1.0,PTI-noCrit,31,0.2,0.323,0.24,0.5657,0.124,0.6721
518,0.0,EPSS-day0,39,0.22,0.259,0.22,0.4179,0.152,0.6257
518,0.0,CAP-day0,39,0.26,0.4227,0.24,0.5847,0.152,0.7711
518,0.0,EPSS-matured-oracle,39,0.28,0.4716,0.24,0.6195,0.152,0.8063
518,0.0,CVSS-only,39,0.18,0.2144,0.2,0.3756,0.152,0.6042
518,0.0,Random,39,0.0,0.0,0.0,0.0,0.004,0.012
518,0.0,Context-only,39,0.0,0.0,0.02,0.0319,0.052,0.1706
518,0.0,PTI-full,39,0.26,0.4546,0.24,0.6186,0.156,0.8179
518,0.0,PTI-noObs,39,0.24,0.4194,0.23,0.5819,0.156,0.7881
518,0.0,PTI-noCrit,39,0.22,0.2577,0.22,0.4166,0.156,0.6366
518,0.25,EPSS-day0,39,0.2,0.2343,0.22,0.4121,0.152,0.6189
518,0.25,CAP-day0,39,0.3,0.4549,0.24,0.5864,0.152,0.771
518,0.25,EPSS-matured-oracle,39,0.28,0.4716,0.24,0.6195,0.152,0.8063
518,0.25,CVSS-only,39,0.2,0.2165,0.2,0.3624,0.14,0.5531
518,0.25,Random,39,0.0,0.0,0.02,0.03,0.016,0.056
518,0.25,Context-only,39,0.0,0.0,0.02,0.0319,0.052,0.1706
518,0.25,PTI-full,39,0.3,0.4846,0.25,0.6301,0.156,0.8137
518,0.25,PTI-noObs,39,0.26,0.433,0.23,0.5815,0.148,0.7617
518,0.25,PTI-noCrit,39,0.2,0.2796,0.22,0.4565,0.156,0.6754
518,0.5,EPSS-day0,39,0.22,0.2758,0.2,0.4038,0.152,0.6363
518,0.5,CAP-day0,39,0.22,0.4126,0.23,0.5898,0.152,0.7862
518,0.5,EPSS-matured-oracle,39,0.28,0.4716,0.24,0.6195,0.152,0.8063
518,0.5,CVSS-only,39,0.22,0.2675,0.19,0.3833,0.128,0.5486
518,0.5,Random,39,0.0,0.0,0.0,0.0,0.0,0.0
518,0.5,Context-only,39,0.0,0.0,0.02,0.0319,0.052,0.1706
518,0.5,PTI-full,39,0.22,0.437,0.24,0.627,0.156,0.8221
518,0.5,PTI-noObs,39,0.28,0.4801,0.21,0.5813,0.144,0.7728
518,0.5,PTI-noCrit,39,0.22,0.3073,0.2,0.434,0.156,0.6783
518,0.75,EPSS-day0,39,0.2,0.2051,0.23,0.3947,0.152,0.585
518,0.75,CAP-day0,39,0.22,0.3857,0.27,0.623,0.152,0.7634
518,0.75,EPSS-matured-oracle,39,0.28,0.4716,0.24,0.6195,0.152,0.8063
518,0.75,CVSS-only,39,0.2,0.2455,0.23,0.4372,0.136,0.5728
518,0.75,Random,39,0.02,0.0193,0.01,0.0193,0.008,0.032
518,0.75,Context-only,39,0.0,0.0,0.02,0.0319,0.052,0.1706
518,0.75,PTI-full,39,0.26,0.4413,0.28,0.6589,0.152,0.7871
518,0.75,PTI-noObs,39,0.3,0.4724,0.24,0.6065,0.148,0.7672
518,0.75,PTI-noCrit,39,0.2,0.2399,0.23,0.4276,0.148,0.6066
518,1.0,EPSS-day0,39,0.24,0.271,0.22,0.4199,0.14,0.5823
518,1.0,CAP-day0,39,0.32,0.4978,0.24,0.6159,0.144,0.7672
518,1.0,EPSS-matured-oracle,39,0.28,0.4716,0.24,0.6195,0.152,0.8063
518,1.0,CVSS-only,39,0.2,0.3075,0.18,0.4251,0.148,0.666
518,1.0,Random,39,0.0,0.0,0.0,0.0,0.008,0.0237
518,1.0,Context-only,39,0.0,0.0,0.02,0.0319,0.052,0.1706
518,1.0,PTI-full,39,0.24,0.4414,0.25,0.6345,0.148,0.7907
518,1.0,PTI-noObs,39,0.26,0.4621,0.23,0.6065,0.148,0.7875
518,1.0,PTI-noCrit,39,0.22,0.3174,0.2,0.4468,0.148,0.6655
519,0.0,EPSS-day0,33,0.28,0.4235,0.26,0.6235,0.128,0.7138
519,0.0,CAP-day0,33,0.32,0.573,0.31,0.8204,0.128,0.8358
519,0.0,EPSS-matured-oracle,33,0.34,0.6036,0.32,0.8501,0.128,0.8501
519,0.0,CVSS-only,33,0.32,0.4809,0.24,0.6123,0.128,0.7283
519,0.0,Random,33,0.02,0.0227,0.02,0.0394,0.012,0.0546
519,0.0,Context-only,33,0.08,0.108,0.06,0.1426,0.048,0.2281
519,0.0,PTI-full,33,0.32,0.5828,0.32,0.8462,0.132,0.8611
519,0.0,PTI-noObs,33,0.38,0.6412,0.26,0.755,0.132,0.8577
519,0.0,PTI-noCrit,33,0.28,0.3572,0.26,0.5561,0.132,0.6602
519,0.25,EPSS-day0,33,0.28,0.3716,0.26,0.5721,0.128,0.6622
519,0.25,CAP-day0,33,0.32,0.5775,0.31,0.8258,0.128,0.8406
519,0.25,EPSS-matured-oracle,33,0.34,0.6036,0.32,0.8501,0.128,0.8501
519,0.25,CVSS-only,33,0.3,0.4649,0.24,0.6142,0.128,0.7258
519,0.25,Random,33,0.0,0.0,0.0,0.0,0.0,0.0
519,0.25,Context-only,33,0.08,0.108,0.06,0.1426,0.048,0.2281
519,0.25,PTI-full,33,0.34,0.6061,0.31,0.8379,0.128,0.8527
519,0.25,PTI-noObs,33,0.42,0.6717,0.25,0.7372,0.128,0.8363
519,0.25,PTI-noCrit,33,0.28,0.3528,0.25,0.5376,0.128,0.643
519,0.5,EPSS-day0,33,0.26,0.3555,0.25,0.5536,0.128,0.6561
519,0.5,CAP-day0,33,0.3,0.5498,0.28,0.7651,0.132,0.8367
519,0.5,EPSS-matured-oracle,33,0.34,0.6036,0.32,0.8501,0.128,0.8501
519,0.5,CVSS-only,33,0.34,0.4081,0.24,0.5278,0.128,0.6419
519,0.5,Random,33,0.02,0.0342,0.01,0.0342,0.008,0.0491
519,0.5,Context-only,33,0.08,0.108,0.06,0.1426,0.048,0.2281
519,0.5,PTI-full,33,0.32,0.5837,0.29,0.7987,0.132,0.856
519,0.5,PTI-noObs,33,0.38,0.6495,0.28,0.7996,0.128,0.8557
519,0.5,PTI-noCrit,33,0.26,0.3831,0.26,0.5986,0.128,0.6871
519,0.75,EPSS-day0,33,0.26,0.3897,0.26,0.6114,0.128,0.6991
519,0.75,CAP-day0,33,0.34,0.5982,0.27,0.7689,0.132,0.8566
519,0.75,EPSS-matured-oracle,33,0.34,0.6036,0.32,0.8501,0.128,0.8501
519,0.75,CVSS-only,33,0.28,0.459,0.24,0.623,0.128,0.7412
519,0.75,Random,33,0.0,0.0,0.01,0.0164,0.02,0.0737
519,0.75,Context-only,33,0.08,0.108,0.06,0.1426,0.048,0.2281
519,0.75,PTI-full,33,0.36,0.63,0.3,0.8292,0.132,0.8745
519,0.75,PTI-noObs,33,0.34,0.6172,0.27,0.7809,0.132,0.8689
519,0.75,PTI-noCrit,33,0.26,0.3425,0.28,0.5917,0.132,0.6646
519,1.0,EPSS-day0,33,0.28,0.3454,0.22,0.4801,0.12,0.5929
519,1.0,CAP-day0,33,0.34,0.5849,0.24,0.7,0.128,0.8126
519,1.0,EPSS-matured-oracle,33,0.34,0.6036,0.32,0.8501,0.128,0.8501
519,1.0,CVSS-only,33,0.3,0.4724,0.22,0.5878,0.128,0.7297
519,1.0,Random,33,0.0,0.0,0.0,0.0,0.004,0.0139
519,1.0,Context-only,33,0.08,0.108,0.06,0.1426,0.048,0.2281
519,1.0,PTI-full,33,0.34,0.6063,0.25,0.7372,0.128,0.8394
519,1.0,PTI-noObs,33,0.34,0.6146,0.24,0.7287,0.128,0.8442
519,1.0,PTI-noCrit,33,0.3,0.394,0.23,0.525,0.128,0.6541
520,0.0,EPSS-day0,27,0.24,0.4471,0.24,0.6715,0.108,0.7235
520,0.0,CAP-day0,27,0.28,0.5547,0.27,0.7982,0.108,0.7982
520,0.0,EPSS-matured-oracle,27,0.28,0.5815,0.27,0.8259,0.108,0.8259
520,0.0,CVSS-only,27,0.22,0.3003,0.18,0.4352,0.1,0.55
520,0.0,Random,27,0.02,0.0208,0.01,0.0208,0.004,0.0208
520,0.0,Context-only,27,0.04,0.0615,0.02,0.0615,0.032,0.1571
520,0.0,PTI-full,27,0.28,0.5779,0.27,0.8223,0.108,0.8223
520,0.0,PTI-noObs,27,0.26,0.5339,0.2,0.6696,0.1,0.7519
520,0.0,PTI-noCrit,27,0.24,0.4236,0.24,0.648,0.108,0.7001
520,0.25,EPSS-day0,27,0.28,0.4875,0.24,0.672,0.108,0.7217
520,0.25,CAP-day0,27,0.3,0.5819,0.25,0.7702,0.108,0.8041
520,0.25,EPSS-matured-oracle,27,0.28,0.5815,0.27,0.8259,0.108,0.8259
520,0.25,CVSS-only,27,0.16,0.2945,0.2,0.5208,0.108,0.6378
520,0.25,Random,27,0.04,0.0463,0.02,0.0463,0.012,0.061
520,0.25,Context-only,27,0.04,0.0615,0.02,0.0615,0.032,0.1571
520,0.25,PTI-full,27,0.3,0.5961,0.25,0.784,0.108,0.8182
520,0.25,PTI-noObs,27,0.24,0.5166,0.23,0.722,0.108,0.7892
520,0.25,PTI-noCrit,27,0.26,0.465,0.24,0.6694,0.108,0.7191
520,0.5,EPSS-day0,27,0.24,0.4103,0.22,0.5983,0.108,0.6827
520,0.5,CAP-day0,27,0.26,0.5427,0.25,0.7697,0.108,0.8036
520,0.5,EPSS-matured-oracle,27,0.28,0.5815,0.27,0.8259,0.108,0.8259
520,0.5,CVSS-only,27,0.2,0.3675,0.19,0.5372,0.104,0.6532
520,0.5,Random,27,0.0,0.0,0.0,0.0,0.0,0.0
520,0.5,Context-only,27,0.04,0.0615,0.02,0.0615,0.032,0.1571
520,0.5,PTI-full,27,0.26,0.5766,0.26,0.8219,0.108,0.8383
520,0.5,PTI-noObs,27,0.24,0.5483,0.23,0.7527,0.108,0.8161
520,0.5,PTI-noCrit,27,0.2,0.3849,0.22,0.615,0.108,0.699
520,0.75,EPSS-day0,27,0.24,0.3662,0.2,0.5208,0.108,0.6377
520,0.75,CAP-day0,27,0.3,0.5581,0.23,0.71,0.108,0.7767
520,0.75,EPSS-matured-oracle,27,0.28,0.5815,0.27,0.8259,0.108,0.8259
520,0.75,CVSS-only,27,0.24,0.3462,0.2,0.4993,0.104,0.5961
520,0.75,Random,27,0.0,0.0,0.0,0.0,0.0,0.0
520,0.75,Context-only,27,0.04,0.0615,0.02,0.0615,0.032,0.1571
520,0.75,PTI-full,27,0.28,0.5741,0.24,0.7677,0.108,0.817
520,0.75,PTI-noObs,27,0.3,0.6242,0.21,0.7399,0.104,0.8219
520,0.75,PTI-noCrit,27,0.24,0.3508,0.23,0.5603,0.108,0.6252
520,1.0,EPSS-day0,27,0.26,0.3545,0.18,0.4467,0.1,0.5585
520,1.0,CAP-day0,27,0.28,0.5754,0.19,0.6698,0.104,0.7824
520,1.0,EPSS-matured-oracle,27,0.28,0.5815,0.27,0.8259,0.108,0.8259
520,1.0,CVSS-only,27,0.26,0.3602,0.15,0.3992,0.1,0.5613
520,1.0,Random,27,0.0,0.0,0.0,0.0,0.0,0.0
520,1.0,Context-only,27,0.04,0.0615,0.02,0.0615,0.032,0.1571
520,1.0,PTI-full,27,0.28,0.604,0.19,0.6996,0.108,0.829
520,1.0,PTI-noObs,27,0.28,0.6091,0.17,0.6649,0.104,0.8116
520,1.0,PTI-noCrit,27,0.28,0.3732,0.18,0.447,0.108,0.5901
521,0.0,EPSS-day0,40,0.18,0.2705,0.24,0.4878,0.148,0.6575
521,0.0,CAP-day0,40,0.24,0.3949,0.31,0.6693,0.148,0.7481
521,0.0,EPSS-matured-oracle,40,0.26,0.4292,0.31,0.6902,0.148,0.7691
521,0.0,CVSS-only,40,0.22,0.247,0.22,0.4082,0.144,0.5821
521,0.0,Random,40,0.0,0.0,0.0,0.0,0.008,0.0245
521,0.0,Context-only,40,0.02,0.0162,0.02,0.0318,0.036,0.1164
521,0.0,PTI-full,40,0.26,0.4292,0.32,0.7043,0.148,0.7708
521,0.0,PTI-noObs,40,0.3,0.4668,0.26,0.6269,0.152,0.7772
521,0.0,PTI-noCrit,40,0.18,0.2705,0.24,0.488,0.148,0.659
521,0.25,EPSS-day0,40,0.2,0.2686,0.27,0.5105,0.148,0.6402
521,0.25,CAP-day0,40,0.24,0.3827,0.32,0.6703,0.148,0.7357
521,0.25,EPSS-matured-oracle,40,0.26,0.4292,0.31,0.6902,0.148,0.7691
521,0.25,CVSS-only,40,0.14,0.1644,0.24,0.4124,0.136,0.5363
521,0.25,Random,40,0.0,0.0,0.0,0.0,0.004,0.0118
521,0.25,Context-only,40,0.02,0.0162,0.02,0.0318,0.036,0.1164
521,0.25,PTI-full,40,0.26,0.4226,0.32,0.6956,0.152,0.7741
521,0.25,PTI-noObs,40,0.24,0.3963,0.26,0.6007,0.14,0.7133
521,0.25,PTI-noCrit,40,0.18,0.2213,0.25,0.4512,0.152,0.62
521,0.5,EPSS-day0,40,0.2,0.2708,0.24,0.4753,0.148,0.6429
521,0.5,CAP-day0,40,0.26,0.414,0.3,0.6602,0.148,0.751
521,0.5,EPSS-matured-oracle,40,0.26,0.4292,0.31,0.6902,0.148,0.7691
521,0.5,CVSS-only,40,0.24,0.282,0.21,0.4113,0.132,0.5642
521,0.5,Random,40,0.04,0.0381,0.03,0.053,0.012,0.053
521,0.5,Context-only,40,0.02,0.0162,0.02,0.0318,0.036,0.1164
521,0.5,PTI-full,40,0.28,0.4438,0.3,0.6748,0.152,0.7776
521,0.5,PTI-noObs,40,0.28,0.4664,0.24,0.6124,0.136,0.7404
521,0.5,PTI-noCrit,40,0.2,0.2154,0.25,0.4324,0.152,0.598
521,0.75,EPSS-day0,40,0.24,0.2414,0.25,0.4271,0.144,0.5629
521,0.75,CAP-day0,40,0.26,0.3763,0.27,0.581,0.148,0.7062
521,0.75,EPSS-matured-oracle,40,0.26,0.4292,0.31,0.6902,0.148,0.7691
521,0.75,CVSS-only,40,0.24,0.2486,0.24,0.4235,0.14,0.5604
521,0.75,Random,40,0.0,0.0,0.01,0.0145,0.012,0.0388
521,0.75,Context-only,40,0.02,0.0162,0.02,0.0318,0.036,0.1164
521,0.75,PTI-full,40,0.3,0.4507,0.28,0.6407,0.152,0.7695
521,0.75,PTI-noObs,40,0.28,0.4567,0.27,0.6504,0.152,0.7876
521,0.75,PTI-noCrit,40,0.24,0.2898,0.24,0.463,0.148,0.6297
521,1.0,EPSS-day0,40,0.28,0.3229,0.25,0.4851,0.136,0.5983
521,1.0,CAP-day0,40,0.34,0.4448,0.28,0.6077,0.144,0.7066
521,1.0,EPSS-matured-oracle,40,0.26,0.4292,0.31,0.6902,0.148,0.7691
521,1.0,CVSS-only,40,0.26,0.2996,0.18,0.3737,0.14,0.5852
521,1.0,Random,40,0.0,0.0,0.01,0.0147,0.008,0.0273
521,1.0,Context-only,40,0.02,0.0162,0.02,0.0318,0.036,0.1164
521,1.0,PTI-full,40,0.28,0.4474,0.29,0.6673,0.152,0.7812
