seed,overlap,recall_realtime,recall_scheduled,recall_fusion,gain_over_best_single,gain_over_realtime,scheduled_only_fresh,coverage_union,blind_spot,fusion_miss,miss_above_floor
1004,0.6,0.7627230667547918,0.4183740912095175,0.8248512888301388,0.06212822207534696,0.06212822207534696,0.06212822207534699,0.8631857237276933,0.1368142762723067,0.1751487111698612,0.038334434897554504
1004,0.7,0.7554817275747508,0.4219269102990033,0.7554817275747508,0.0,0.0,0.0,0.7554817275747508,0.24451827242524915,0.24451827242524915,0.0
1005,0.45,0.7405940594059406,0.4158415841584158,0.8884488448844885,0.1478547854785479,0.1478547854785479,0.14785478547854786,1.0,0.0,0.1115511551155115,0.1115511551155115
1005,0.5,0.7445109780439122,0.4085163007318696,0.8669328010645376,0.12242182302062543,0.12242182302062543,0.12242182302062542,0.9494344644045243,0.05056553559547572,0.13306719893546237,0.08250166333998665
1005,0.55,0.7353741496598639,0.4061224489795918,0.827891156462585,0.09251700680272112,0.09251700680272112,0.09251700680272108,0.8891156462585034,0.11088435374149663,0.17210884353741496,0.061224489795918324
1005,0.6,0.7691284098469727,0.4145043246839654,0.8203592814371258,0.05123087159015305,0.05123087159015305,0.05123087159015303,0.8616101131071191,0.1383898868928809,0.17964071856287422,0.041250831669993326
1005,0.7,0.7503184713375797,0.42038216560509556,0.7503184713375797,0.0,0.0,0.0,0.7503184713375797,0.24968152866242033,0.24968152866242033,0.0
1006,0.45,0.7586898395721925,0.4264705882352941,0.9064171122994652,0.1477272727272727,0.1477272727272727,0.14772727272727273,1.0,0.0,0.0935828877005348,0.0935828877005348
1006,0.5,0.7501706484641638,0.4354948805460751,0.8791808873720136,0.1290102389078498,0.1290102389078498,0.12901023890784982,0.9501706484641638,0.04982935153583623,0.12081911262798639,0.07098976109215016
1006,0.55,0.7424140256237357,0.43020903573836816,0.8368172623061362,0.09440323668240047,0.09440323668240047,0.09440323668240054,0.9076196898179366,0.09238031018206339,0.16318273769386382,0.07080242751180044
1006,0.6,0.766859344894027,0.43481053307642903,0.8272318561335903,0.06037251123956333,0.06037251123956333,0.06037251123956326,0.8599871547848427,0.14001284521515733,0.1727681438664097,0.032755298651252374
1006,0.7,0.7614011896893589,0.42101784534038333,0.7614011896893589,0.0,0.0,0.0,0.7614011896893589,0.23859881031064112,0.23859881031064112,0.0
1007,0.45,0.7338325391422736,0.4050374404356705,0.8890401633764465,0.1552076242341729,0.1552076242341729,0.15520762423417292,1.0,0.0,0.11095983662355346,0.11095983662355346
1007,0.5,0.7641325536062378,0.4171539961013645,0.8862897985705003,0.1221572449642625,0.1221572449642625,0.1221572449642625,0.9519168291098116,0.04808317089018843,0.11371020142949972,0.06562703053931129
1007,0.55,0.7467752885268161,0.41615750169721655,0.8275627970128988,0.08078750848608274,0.08078750848608274,0.08078750848608282,0.8893414799728445,0.11065852002715548,0.1724372029871012,0.06177868295994571
1007,0.6,0.7597150259067358,0.4183937823834197,0.8173575129533679,0.05764248704663211,0.05764248704663211,0.05764248704663212,0.8620466321243523,0.13795336787564771,0.1826424870466321,0.04468911917098439
1007,0.7,0.7563025210084033,0.4434389140271493,0.7563025210084033,0.0,0.0,0.0,0.7563025210084033,0.24369747899159666,0.24369747899159666,0.0
1008,0.45,0.7491814014407334,0.4119187950229208,0.8932547478716437,0.1440733464309103,0.1440733464309103,0.14407334643091027,1.0,0.0,0.10674525212835628,0.10674525212835628
1008,0.5,0.7434383202099738,0.4041994750656168,0.8595800524934383,0.11614173228346447,0.11614173228346447,0.11614173228346457,0.9461942257217848,0.0538057742782152,0.14041994750656173,0.08661417322834652
1008,0.55,0.7606666666666667,0.408,0.8453333333333334,0.08466666666666667,0.08466666666666667,0.08466666666666667,0.9006666666666666,0.09933333333333338,0.15466666666666662,0.055333333333333234
1008,0.6,0.75564681724846,0.4188911704312115,0.8049281314168378,0.04928131416837789,0.04928131416837789,0.049281314168377825,0.8501026694045175,0.1498973305954825,0.19507186858316217,0.045174537987679675
1008,0.7,0.7491705374917054,0.41207697412076977,0.7491705374917054,0.0,0.0,0.0,0.7491705374917054,0.25082946250829463,0.25082946250829463,0.0
1009,0.45,0.7519582245430809,0.4210182767624021,0.8968668407310705,0.14490861618798956,0.14490861618798956,0.14490861618798956,1.0,0.0,0.10313315926892952,0.10313315926892952
1009,0.5,0.7580862533692723,0.4076819407008086,0.8652291105121294,0.1071428571428571,0.1071428571428571,0.10714285714285714,0.9487870619946092,0.05121293800539084,0.13477088948787064,0.0835579514824798
1009,0.55,0.7563683866753755,0.4363161332462443,0.8406270411495754,0.08425865447419989,0.08425865447419989,0.08425865447419988,0.8981058131939909,0.10189418680600915,0.15937295885042457,0.05747877204441543
1009,0.6,0.7449577098243331,0.41899804814573843,0.8067664281067014,0.061808718282368336,0.061808718282368336,0.06180871828236825,0.8445022771633052,0.15549772283669483,0.1932335718932986,0.037735849056603765
1009,0.7,0.7625083388925951,0.43028685790527016,0.7625083388925951,0.0,0.0,0.0,0.7625083388925951,0.23749166110740494,0.23749166110740494,0.0
1010,0.45,0.7660550458715596,0.4148099606815203,0.9141546526867628,0.14809960681520318,0.14809960681520318,0.14809960681520315,1.0,0.0,0.08584534731323723,0.08584534731323723
1010,0.5,0.7602108036890646,0.4057971014492754,0.8728590250329381,0.11264822134387353,0.11264822134387353,0.11264822134387352,0.9578392621870883,0.04216073781291174,0.1271409749670619,0.08498023715415015
1010,0.55,0.7538961038961038,0.41883116883116883,0.8415584415584415,0.08766233766233766,0.08766233766233766,0.08766233766233766,0.8915584415584416,0.10844155844155845,0.1584415584415585,0.050000000000000044
1010,0.6,0.7450847457627119,0.42847457627118646,0.8122033898305084,0.06711864406779655,0.06711864406779655,0.0671186440677966,0.8535593220338983,0.14644067796610172,0.18779661016949156,0.041355932203389845
1010,0.7,0.7379219060225016,0.4063534083388484,0.7379219060225016,0.0,0.0,0.0,0.7379219060225016,0.26207809397749837,0.26207809397749837,0.0
1011,0.45,0.7566539923954373,0.41951837769328265,0.9125475285171103,0.155893536121673,0.155893536121673,0.155893536121673,1.0,0.0,0.0874524714828897,0.0874524714828897
1011,0.5,0.7583892617449665,0.4214765100671141,0.8751677852348994,0.1167785234899329,0.1167785234899329,0.11677852348993288,0.9496644295302014,0.05033557046979864,0.12483221476510065,0.074496644295302
1011,0.55,0.7615849563465413,0.4076561450638012,0.8455339153794493,0.083948959032908,0.083948959032908,0.08394895903290799,0.8999328408327737,0.1000671591672263,0.15446608462055067,0.054398925453324365
1011,0.6,0.7534791252485089,0.4592445328031809,0.8204108681245859,0.06693174287607695,0.06693174287607695,0.06693174287607687,0.8608349900596421,0.13916500994035785,0.17958913187541414,0.04042412193505629
1011,0.7,0.7397444519166106,0.43039677202420984,0.7397444519166106,0.0,0.0,0.0,0.7397444519166106,0.26025554808338935,0.26025554808338935,0.0
1012,0.45,0.7473404255319149,0.3916223404255319,0.8916223404255319,0.14428191489361697,0.14428191489361697,0.14428191489361702,1.0,0.0,0.1083776595744681,0.1083776595744681
1012,0.5,0.7419137466307277,0.40902964959568733,0.8679245283018868,0.1260107816711591,0.1260107816711591,0.12601078167115903,0.9528301886792453,0.047169811320754707,0.13207547169811318,0.08490566037735847
1012,0.55,0.7585978835978836,0.4173280423280423,0.8373015873015873,0.07870370370370372,0.07870370370370372,0.0787037037037037,0.8941798941798942,0.10582010582010581,0.16269841269841268,0.05687830687830686
