cve,epss,in_kev
CVE-2020-0310,0.00017,False
CVE-2020-0311,0.00017,False
CVE-2020-0312,0.00017,False
CVE-2020-0313,0.00017,False
CVE-2020-0314,0.00015,False
CVE-2020-0315,0.00017,False
CVE-2020-0316,0.00015,False
CVE-2020-0317,0.00015,False
CVE-2020-0318,0.00017,False
CVE-2020-0319,0.00056,False
CVE-2020-0320,0.00294,False
CVE-2020-0321,0.00409,False
CVE-2020-0322,0.00018,False
CVE-2020-0323,0.00017,False
CVE-2020-0324,0.00244,False
CVE-2020-0325,0.00018,False
CVE-2020-0326,0.00016,False
CVE-2020-0327,0.00015,False
CVE-2020-0328,0.00016,False
CVE-2020-0329,0.00017,False
CVE-2020-0330,0.00017,False
CVE-2020-0331,0.00014,False
CVE-2020-0332,0.00294,False
CVE-2020-0333,0.00646,False
CVE-2020-0334,0.00016,False
CVE-2020-0335,0.00016,False
CVE-2020-0336,0.00016,False
CVE-2020-0337,0.00014,False
CVE-2020-0338,0.0001,False
CVE-2020-0339,0.00123,False
CVE-2020-0340,0.00244,False
CVE-2020-0341,0.00014,False
CVE-2020-0342,0.0017,False
CVE-2020-0343,0.00015,False
CVE-2020-0344,0.00026,False
CVE-2020-0345,0.00016,False
CVE-2020-0346,0.00015,False
CVE-2020-0347,0.00026,False
CVE-2020-0348,0.00256,False
CVE-2020-0349,0.00018,False
CVE-2020-0350,0.00016,False
CVE-2020-0351,0.00346,False
CVE-2020-0352,0.00026,False
CVE-2020-0353,0.00294,False
CVE-2020-0354,0.00646,False
CVE-2020-0355,0.00244,False
CVE-2020-0356,0.00015,False
CVE-2020-0357,0.00014,False
CVE-2020-0358,0.00015,False
CVE-2020-0359,0.00017,False
CVE-2020-0360,0.00048,False
CVE-2020-0361,0.00244,False
CVE-2020-0362,0.00294,False
CVE-2020-0363,0.00294,False
CVE-2020-0364,0.00244,False
CVE-2020-0365,0.00044,False
CVE-2020-0366,0.00042,False
CVE-2020-0367,0.00165,False
CVE-2020-0368,0.00015,False
CVE-2020-0369,0.00015,False
CVE-2020-0370,0.00244,False
CVE-2020-0371,0.00123,False
CVE-2020-0372,0.00015,False
CVE-2020-0373,0.00012,False
CVE-2020-0374,0.00012,False
CVE-2020-0375,0.00012,False
CVE-2020-0376,0.00123,False
CVE-2020-0377,0.02028,False
CVE-2020-0378,0.00015,False
CVE-2020-0379,0.00103,False
CVE-2020-0380,0.056,False
CVE-2020-0381,0.01617,False
CVE-2020-0382,0.00014,False
CVE-2020-0383,0.00136,False
CVE-2020-0384,0.00136,False
CVE-2020-0385,0.00136,False
CVE-2020-0386,0.00042,False
