condition_id,task_id,method_id,mean_ap,mean_pk,rule_ap,rule_pk,failure_flag,n_seeds
c_base_seed2024,T5,M6_linearae,0.17936110575553535,0.28,0.38630436699289405,0.4,True,1
c_base_seed2024,T5,M7_zscore,0.22777174281869542,0.16,0.38630436699289405,0.4,True,1
c_base_seed2024,T6,M2_hybrid,0.6916666666666667,0.4,1.0,0.4,True,1
c_base_seed2024,T6,M3_iforest,0.4511904761904762,0.4,1.0,0.4,True,1
c_base_seed2024,T6,M4_lof,1.0,0.4,1.0,0.4,True,1
c_base_seed2024,T6,M5_ocsvm,1.0,0.4,1.0,0.4,True,1
c_base_seed2024,T6,M6_linearae,1.0,0.4,1.0,0.4,True,1
c_base_seed2024,T6,M7_zscore,1.0,0.4,1.0,0.4,True,1
c_base_seed2024,T6,M8_graphif,0.4511904761904762,0.4,1.0,0.4,True,1
c_base_seed2024,T7,M2_hybrid,0.325,0.2,1.0,0.2,True,1
c_base_seed2024,T7,M3_iforest,1.0,0.2,1.0,0.2,True,1
c_base_seed2024,T7,M4_lof,1.0,0.2,1.0,0.2,True,1
c_base_seed2024,T7,M5_ocsvm,0.5833333333333333,0.2,1.0,0.2,True,1
c_base_seed2024,T7,M6_linearae,1.0,0.2,1.0,0.2,True,1
c_base_seed2024,T7,M7_zscore,1.0,0.2,1.0,0.2,True,1
c_base_seed2024,T7,M8_graphif,1.0,0.2,1.0,0.2,True,1
c_base_seed42,T1,M2_hybrid,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T1,M3_iforest,0.8875,0.4,1.0,0.4,True,1
c_base_seed42,T1,M4_lof,0.645104895104895,0.2,1.0,0.4,True,1
c_base_seed42,T1,M5_ocsvm,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T1,M6_linearae,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T1,M7_zscore,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T1,M8_graphif,0.8875,0.4,1.0,0.4,True,1
c_base_seed42,T2,M2_hybrid,1.0,0.375,1.0,0.375,True,1
c_base_seed42,T2,M3_iforest,0.9444444444444444,0.375,1.0,0.375,True,1
c_base_seed42,T2,M4_lof,0.9047619047619048,0.375,1.0,0.375,True,1
c_base_seed42,T2,M5_ocsvm,0.9102564102564104,0.375,1.0,0.375,True,1
c_base_seed42,T2,M6_linearae,0.7331649831649831,0.375,1.0,0.375,True,1
c_base_seed42,T2,M7_zscore,0.9333333333333333,0.375,1.0,0.375,True,1
c_base_seed42,T2,M8_graphif,0.9444444444444444,0.375,1.0,0.375,True,1
c_base_seed42,T3,M2_hybrid,1.0,0.2,1.0,0.2,True,1
c_base_seed42,T3,M3_iforest,1.0,0.2,1.0,0.2,True,1
c_base_seed42,T3,M4_lof,0.25,0.2,1.0,0.2,True,1
c_base_seed42,T3,M5_ocsvm,1.0,0.2,1.0,0.2,True,1
c_base_seed42,T3,M6_linearae,1.0,0.2,1.0,0.2,True,1
c_base_seed42,T3,M7_zscore,0.09163533834586467,0.0,1.0,0.2,True,1
c_base_seed42,T3,M8_graphif,1.0,0.2,1.0,0.2,True,1
c_base_seed42,T4,M2_hybrid,0.7677769399193783,1.0,1.0,1.0,True,1
c_base_seed42,T4,M3_iforest,0.771434598130812,1.0,1.0,1.0,True,1
c_base_seed42,T4,M4_lof,1.0,1.0,1.0,1.0,True,1
c_base_seed42,T4,M5_ocsvm,1.0,1.0,1.0,1.0,True,1
c_base_seed42,T4,M6_linearae,1.0,1.0,1.0,1.0,True,1
c_base_seed42,T4,M7_zscore,0.8047796791547484,1.0,1.0,1.0,True,1
c_base_seed42,T5,M2_hybrid,0.35625223036320025,0.24,0.5622901331125015,0.52,True,1
c_base_seed42,T5,M3_iforest,0.6868454744983277,0.48,0.5622901331125015,0.52,False,1
c_base_seed42,T5,M4_lof,0.5483236833718882,0.44,0.5622901331125015,0.52,True,1
c_base_seed42,T5,M5_ocsvm,0.6974309715105255,0.44,0.5622901331125015,0.52,False,1
c_base_seed42,T5,M6_linearae,0.3342049460197565,0.28,0.5622901331125015,0.52,True,1
c_base_seed42,T5,M7_zscore,0.18786514078231697,0.2,0.5622901331125015,0.52,True,1
c_base_seed42,T6,M2_hybrid,0.6178571428571429,0.4,1.0,0.4,True,1
c_base_seed42,T6,M3_iforest,0.44047619047619047,0.4,1.0,0.4,True,1
c_base_seed42,T6,M4_lof,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T6,M5_ocsvm,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T6,M6_linearae,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T6,M7_zscore,1.0,0.4,1.0,0.4,True,1
c_base_seed42,T6,M8_graphif,0.44047619047619047,0.4,1.0,0.4,True,1
c_base_seed42,T7,M2_hybrid,0.26666666666666666,0.2,1.0,0.2,True,1
c_base_seed42,T7,M3_iforest,0.3333333333333333,0.2,1.0,0.2,True,1
c_base_seed42,T7,M4_lof,0.8333333333333333,0.2,1.0,0.2,True,1
c_base_seed42,T7,M5_ocsvm,0.5833333333333333,0.2,1.0,0.2,True,1
c_base_seed42,T7,M6_linearae,0.8333333333333333,0.2,1.0,0.2,True,1
c_base_seed42,T7,M7_zscore,1.0,0.2,1.0,0.2,True,1
c_base_seed42,T7,M8_graphif,0.3333333333333333,0.2,1.0,0.2,True,1
c_fresh_seed137,T1,M2_hybrid,1.0,0.4,1.0,0.4,True,1
c_fresh_seed137,T1,M3_iforest,1.0,0.4,1.0,0.4,True,1
c_fresh_seed137,T1,M4_lof,1.0,0.4,1.0,0.4,True,1
c_fresh_seed137,T1,M5_ocsvm,1.0,0.4,1.0,0.4,True,1
c_fresh_seed137,T1,M6_linearae,1.0,0.4,1.0,0.4,True,1
c_fresh_seed137,T1,M7_zscore,1.0,0.4,1.0,0.4,True,1
c_fresh_seed137,T1,M8_graphif,1.0,0.4,1.0,0.4,True,1
c_fresh_seed137,T2,M2_hybrid,0.7345238095238095,0.6666666666666666,0.8734126984126984,0.6666666666666666,True,1
